table,field
Purch. Cr. Memo Line,VAT Prod. Posting Group
Purch. Cr. Memo Line,Vendor Item No.
Purch. Inv. Header,Area
Purch. Inv. Header,Buy-from Address
Purch. Inv. Header,Buy-from Address 2
Purch. Inv. Header,Buy-from City
Purch. Inv. Header,Buy-from Contact
Purch. Inv. Header,Buy-from Contact No.
Purch. Inv. Header,Buy-from Country/Region Code
Purch. Inv. Header,Buy-from County
Purch. Inv. Header,Buy-from Post Code
Purch. Inv. Header,Buy-from Vendor Name
Purch. Inv. Header,Buy-from Vendor Name 2
Purch. Inv. Header,Buy-from Vendor No.
Purch. Inv. Header,Campaign No.
Purch. Inv. Header,Correction
Purch. Inv. Header,Creditor No.
Purch. Inv. Header,Currency Code
Purch. Inv. Header,Currency Factor
Purch. Inv. Header,Dimension Set ID
Purch. Inv. Header,Document Date
Purch. Inv. Header,Due Date
Purch. Inv. Header,Expected Receipt Date
Purch. Inv. Header,Gen. Bus. Posting Group
Purch. Inv. Header,Invoice Disc. Code
Purch. Inv. Header,Language Code
Purch. Inv. Header,Location Code
Purch. Inv. Header,No.
Purch. Inv. Header,On Hold
Purch. Inv. Header,Order Address Code
Purch. Inv. Header,Order Date
Purch. Inv. Header,Order No.
Purch. Inv. Header,Payment Discount %
Purch. Inv. Header,Payment Method Code
Purch. Inv. Header,Payment Reference
Purch. Inv. Header,Payment Terms Code
Purch. Inv. Header,Pay-to Address
Purch. Inv. Header,Pay-to Address 2
Purch. Inv. Header,Pay-to City
Purch. Inv. Header,Pay-to Contact
Purch. Inv. Header,Pay-to Contact No.
Purch. Inv. Header,Pay-to Country/Region Code
Purch. Inv. Header,Pay-to County
Purch. Inv. Header,Pay-to Name
Purch. Inv. Header,Pay-to Name 2
Purch. Inv. Header,Pay-to Post Code
Purch. Inv. Header,Pay-to Vendor No.
Purch. Inv. Header,Pmt. Discount Date
Purch. Inv. Header,Posting Date
Purch. Inv. Header,Posting Description
Purch. Inv. Header,Provincial Tax Area Code
Purch. Inv. Header,Purchaser Code
Purch. Inv. Header,Quote No.
Purch. Inv. Header,Reason Code
Purch. Inv. Header,Responsibility Center
Purch. Inv. Header,Sell-to Customer No.
Purch. Inv. Header,Shipment Method Code
Purch. Inv. Header,Ship-to Address
Purch. Inv. Header,Ship-to Address 2
Purch. Inv. Header,Ship-to City
Purch. Inv. Header,Ship-to Code
Purch. Inv. Header,Ship-to Contact
Purch. Inv. Header,Ship-to Country/Region Code
Purch. Inv. Header,Ship-to County
Purch. Inv. Header,Ship-to Name
Purch. Inv. Header,Ship-to Name 2
Purch. Inv. Header,Ship-to Phone No.
Purch. Inv. Header,Ship-to Post Code
Purch. Inv. Header,Ship-to UPS Zone
Purch. Inv. Header,Shortcut Dimension 1 Code
Purch. Inv. Header,Shortcut Dimension 2 Code
Purch. Inv. Header,Source Code
Purch. Inv. Header,SystemCreatedAt
Purch. Inv. Header,SystemModifiedAt
Purch. Inv. Header,Tax Area Code
Purch. Inv. Header,Tax Exemption No.
Purch. Inv. Header,Tax Liable
Purch. Inv. Header,Transaction Specification
Purch. Inv. Header,Transaction Type
Purch. Inv. Header,Transport Method
Purch. Inv. Header,User ID
Purch. Inv. Header,VAT Base Discount %
Purch. Inv. Header,VAT Bus. Posting Group
Purch. Inv. Header,VAT Country/Region Code
Purch. Inv. Header,VAT Registration No.
Purch. Inv. Header,VAT Reporting Date
Purch. Inv. Header,Vendor Invoice No.
Purch. Inv. Header,Vendor Ledger Entry No.
Purch. Inv. Header,Vendor Order No.
Purch. Inv. Header,Vendor Posting Group
Purch. Inv. Header,Your Reference
Purch. Inv. Line,Amount
Purch. Inv. Line,Amount Including VAT
Purch. Inv. Line,Appl.-to Item Entry
Purch. Inv. Line,Area
Purch. Inv. Line,Attached to Line No.
Purch. Inv. Line,Bin Code
Purch. Inv. Line,Blanket Order Line No.
Purch. Inv. Line,Blanket Order No.
Purch. Inv. Line,Budgeted FA No.
Purch. Inv. Line,Buy-from Vendor No.
Purch. Inv. Line,Deferral Code
Purch. Inv. Line,Description
Purch. Inv. Line,Description 2
Purch. Inv. Line,Dimension Set ID
Purch. Inv. Line,Direct Unit Cost
Purch. Inv. Line,Document No.
Purch. Inv. Line,Expected Receipt Date
Purch. Inv. Line,Gen. Bus. Posting Group
Purch. Inv. Line,Gen. Prod. Posting Group
Purch. Inv. Line,Gross Weight
Purch. Inv. Line,Indirect Cost %
Purch. Inv. Line,Insurance No.
Purch. Inv. Line,Inv. Discount Amount
Purch. Inv. Line,Item Category Code
Purch. Inv. Line,Item Reference No.
Purch. Inv. Line,Item Reference Type
Purch. Inv. Line,Item Reference Type No.
Purch. Inv. Line,Item Reference Unit of Measure
Purch. Inv. Line,Job No.
Purch. Inv. Line,Line Amount
Purch. Inv. Line,Line Discount %
Purch. Inv. Line,Line Discount Amount
Purch. Inv. Line,Line No.
Purch. Inv. Line,Location Code
Purch. Inv. Line,Net Weight
Purch. Inv. Line,No.
Purch. Inv. Line,Nonstock
Purch. Inv. Line,Operation No.
Purch. Inv. Line,Order Line No.
Purch. Inv. Line,Order No.
Purch. Inv. Line,Overhead Rate
Purch. Inv. Line,Pay-to Vendor No.
Purch. Inv. Line,Pmt. Discount Amount
Purch. Inv. Line,Posting Date
Purch. Inv. Line,Posting Group
Purch. Inv. Line,Provincial Tax Area Code
Purch. Inv. Line,Purchasing Code
Purch. Inv. Line,Qty. per Unit of Measure
Purch. Inv. Line,Quantity
Purch. Inv. Line,Quantity (Base)
Purch. Inv. Line,Receipt Line No.
Purch. Inv. Line,Receipt No.
Purch. Inv. Line,Responsibility Center
Purch. Inv. Line,Return Reason Code
Purch. Inv. Line,Routing No.
Purch. Inv. Line,Routing Reference No.
Purch. Inv. Line,Salvage Value
Purch. Inv. Line,Shortcut Dimension 1 Code
Purch. Inv. Line,Shortcut Dimension 2 Code
Purch. Inv. Line,System-Created Entry
Purch. Inv. Line,SystemCreatedAt
Purch. Inv. Line,SystemModifiedAt
Purch. Inv. Line,Tax Area Code
Purch. Inv. Line,Tax Group Code
Purch. Inv. Line,Tax Liable
Purch. Inv. Line,Transaction Specification
Purch. Inv. Line,Transaction Type
Purch. Inv. Line,Transport Method
Purch. Inv. Line,Type
Purch. Inv. Line,Unit Cost
Purch. Inv. Line,Unit Cost (LCY)
Purch. Inv. Line,Unit of Measure
Purch. Inv. Line,Unit of Measure Code
Purch. Inv. Line,Unit Price (LCY)
Purch. Inv. Line,Unit Volume
Purch. Inv. Line,Units per Parcel
Purch. Inv. Line,Use Duplication List
Purch. Inv. Line,Use Tax
Purch. Inv. Line,Variant Code
Purch. Inv. Line,VAT %
Purch. Inv. Line,VAT Base Amount
Purch. Inv. Line,VAT Bus. Posting Group
Purch. Inv. Line,VAT Calculation Type
Purch. Inv. Line,VAT Difference
Purch. Inv. Line,VAT Identifier
Purch. Inv. Line,VAT Prod. Posting Group
Purch. Inv. Line,Vendor Item No.
Purch. Inv. Line,Work Center No.
Purch. Rcpt. Header,Area
Purch. Rcpt. Header,Buy-from Address
Purch. Rcpt. Header,Buy-from Address 2
Purch. Rcpt. Header,Buy-from City
Purch. Rcpt. Header,Buy-from Contact
Purch. Rcpt. Header,Buy-from Contact No.
Purch. Rcpt. Header,Buy-from Country/Region Code
Purch. Rcpt. Header,Buy-from County
Purch. Rcpt. Header,Buy-from Post Code
Purch. Rcpt. Header,Buy-from Vendor Name
Purch. Rcpt. Header,Buy-from Vendor Name 2
Purch. Rcpt. Header,Buy-from Vendor No.
Purch. Rcpt. Header,Campaign No.
Purch. Rcpt. Header,Correction
Purch. Rcpt. Header,Currency Code
Purch. Rcpt. Header,Currency Factor
Purch. Rcpt. Header,Dimension Set ID
Purch. Rcpt. Header,Document Date
Purch. Rcpt. Header,Due Date
Purch. Rcpt. Header,Entry Point
Purch. Rcpt. Header,Expected Receipt Date
Purch. Rcpt. Header,Gen. Bus. Posting Group
Purch. Rcpt. Header,Invoice Disc. Code
Purch. Rcpt. Header,Language Code
Purch. Rcpt. Header,Location Code
Purch. Rcpt. Header,No.
Purch. Rcpt. Header,No. Printed
Purch. Rcpt. Header,On Hold
Purch. Rcpt. Header,Order Address Code
Purch. Rcpt. Header,Order Date
Purch. Rcpt. Header,Order No.
Purch. Rcpt. Header,Order No. Series
Purch. Rcpt. Header,Payment Discount %
Purch. Rcpt. Header,Payment Method Code
Purch. Rcpt. Header,Payment Terms Code
Purch. Rcpt. Header,Pay-to Address
Purch. Rcpt. Header,Pay-to Address 2
Purch. Rcpt. Header,Pay-to City
Purch. Rcpt. Header,Pay-to Contact
Purch. Rcpt. Header,Pay-to Contact No.
Purch. Rcpt. Header,Pay-to Country/Region Code
Purch. Rcpt. Header,Pay-to County
Purch. Rcpt. Header,Pay-to Name
Purch. Rcpt. Header,Pay-to Name 2
Purch. Rcpt. Header,Pay-to Post Code
Purch. Rcpt. Header,Pay-to Vendor No.
Purch. Rcpt. Header,Pmt. Discount Date
Purch. Rcpt. Header,Posting Date
Purch. Rcpt. Header,Posting Description
Purch. Rcpt. Header,Promised Receipt Date
Purch. Rcpt. Header,Purchaser Code
Purch. Rcpt. Header,Quote No.
Purch. Rcpt. Header,Reason Code
Purch. Rcpt. Header,Requested Receipt Date
Purch. Rcpt. Header,Responsibility Center
Purch. Rcpt. Header,Sell-to Customer No.
Purch. Rcpt. Header,Shipment Method Code
Purch. Rcpt. Header,Ship-to Address
Purch. Rcpt. Header,Ship-to Address 2
Purch. Rcpt. Header,Ship-to City
Purch. Rcpt. Header,Ship-to Code
Purch. Rcpt. Header,Ship-to Contact
Purch. Rcpt. Header,Ship-to Country/Region Code
Purch. Rcpt. Header,Ship-to County
Purch. Rcpt. Header,Ship-to Name
Purch. Rcpt. Header,Ship-to Name 2
Purch. Rcpt. Header,Ship-to Phone No.
Purch. Rcpt. Header,Ship-to Post Code
Purch. Rcpt. Header,Ship-to UPS Zone
Purch. Rcpt. Header,Shortcut Dimension 1 Code
Purch. Rcpt. Header,Shortcut Dimension 2 Code
Purch. Rcpt. Header,Source Code
Purch. Rcpt. Header,SystemCreatedAt
Purch. Rcpt. Header,SystemModifiedAt
Purch. Rcpt. Header,Tax Area Code
Purch. Rcpt. Header,Tax Liable
Purch. Rcpt. Header,Transaction Specification
Purch. Rcpt. Header,Transaction Type
Purch. Rcpt. Header,Transport Method
Purch. Rcpt. Header,User ID
Purch. Rcpt. Header,VAT Base Discount %
Purch. Rcpt. Header,VAT Bus. Posting Group
Purch. Rcpt. Header,VAT Country/Region Code
Purch. Rcpt. Header,VAT Registration No.
Purch. Rcpt. Header,Vendor Order No.
Purch. Rcpt. Header,Vendor Posting Group
Purch. Rcpt. Header,Vendor Shipment No.
Purch. Rcpt. Header,Your Reference
Purch. Rcpt. Line,Appl.-to Item Entry
Purch. Rcpt. Line,Area
Purch. Rcpt. Line,Attached to Line No.
Purch. Rcpt. Line,Bin Code
Purch. Rcpt. Line,Blanket Order Line No.
Purch. Rcpt. Line,Blanket Order No.
Purch. Rcpt. Line,Budgeted FA No.
Purch. Rcpt. Line,Buy-from Vendor No.
Purch. Rcpt. Line,Correction
Purch. Rcpt. Line,Description
Purch. Rcpt. Line,Description 2
Purch. Rcpt. Line,Dimension Set ID
Purch. Rcpt. Line,Direct Unit Cost
Purch. Rcpt. Line,Document No.
Purch. Rcpt. Line,Expected Receipt Date
Purch. Rcpt. Line,Gen. Bus. Posting Group
Purch. Rcpt. Line,Gen. Prod. Posting Group
Purch. Rcpt. Line,Gross Weight
Purch. Rcpt. Line,Indirect Cost %
Purch. Rcpt. Line,Insurance No.
Purch. Rcpt. Line,Item Category Code
Purch. Rcpt. Line,Item Charge Base Amount
Purch. Rcpt. Line,Item Reference No.
Purch. Rcpt. Line,Item Reference Type
Purch. Rcpt. Line,Item Reference Type No.
Purch. Rcpt. Line,Item Reference Unit of Measure
Purch. Rcpt. Line,Job No.
Purch. Rcpt. Line,Line Discount %
Purch. Rcpt. Line,Line No.
Purch. Rcpt. Line,Location Code
Purch. Rcpt. Line,Net Weight
Purch. Rcpt. Line,No.
Purch. Rcpt. Line,Nonstock
Purch. Rcpt. Line,Operation No.
Purch. Rcpt. Line,Order Date
Purch. Rcpt. Line,Order Line No.
Purch. Rcpt. Line,Order No.
Purch. Rcpt. Line,Overhead Rate
Purch. Rcpt. Line,Over-Receipt Code 2
Purch. Rcpt. Line,Over-Receipt Quantity
Purch. Rcpt. Line,Pay-to Vendor No.
Purch. Rcpt. Line,Planned Receipt Date
Purch. Rcpt. Line,Posting Date
Purch. Rcpt. Line,Posting Group
Purch. Rcpt. Line,Promised Receipt Date
Purch. Rcpt. Line,Purchasing Code
Purch. Rcpt. Line,Qty. Invoiced (Base)
Purch. Rcpt. Line,Qty. per Unit of Measure
Purch. Rcpt. Line,Qty. Rcd. Not Invoiced
Purch. Rcpt. Line,Quantity
Purch. Rcpt. Line,Quantity (Base)
Purch. Rcpt. Line,Quantity Invoiced
Purch. Rcpt. Line,Requested Receipt Date
Purch. Rcpt. Line,Responsibility Center
Purch. Rcpt. Line,Return Reason Code
Purch. Rcpt. Line,Routing No.
Purch. Rcpt. Line,Routing Reference No.
Purch. Rcpt. Line,Sales Order Line No.
Purch. Rcpt. Line,Sales Order No.
Purch. Rcpt. Line,Salvage Value
Purch. Rcpt. Line,Shortcut Dimension 1 Code
Purch. Rcpt. Line,Shortcut Dimension 2 Code
Purch. Rcpt. Line,SystemCreatedAt
Purch. Rcpt. Line,SystemModifiedAt
Purch. Rcpt. Line,Tax Area Code
Purch. Rcpt. Line,Tax Group Code
Purch. Rcpt. Line,Tax Liable
Purch. Rcpt. Line,Transaction Specification
Purch. Rcpt. Line,Transaction Type
Purch. Rcpt. Line,Transport Method
Purch. Rcpt. Line,Type
Purch. Rcpt. Line,Unit Cost
Purch. Rcpt. Line,Unit Cost (LCY)
Purch. Rcpt. Line,Unit of Measure
Purch. Rcpt. Line,Unit of Measure Code
Purch. Rcpt. Line,Unit Price (LCY)
Purch. Rcpt. Line,Unit Volume
Purch. Rcpt. Line,Units per Parcel
Purch. Rcpt. Line,Use Duplication List
Purch. Rcpt. Line,Use Tax
Purch. Rcpt. Line,Variant Code
Purch. Rcpt. Line,VAT %
Purch. Rcpt. Line,VAT Base Amount
Purch. Rcpt. Line,VAT Bus. Posting Group
Purch. Rcpt. Line,VAT Calculation Type
Purch. Rcpt. Line,VAT Prod. Posting Group
Purch. Rcpt. Line,Vendor Item No.
Purch. Rcpt. Line,Work Center No.
Purchase Header,Area
Purchase Header,Assigned User ID
Purchase Header,Buy-from Address
Purchase Header,Buy-from Address 2
Purchase Header,Buy-from City
Purchase Header,Buy-from Contact
Purchase Header,Buy-from Contact No.
Purchase Header,Buy-from Country/Region Code
Purchase Header,Buy-from County
Purchase Header,Buy-from IC Partner Code
Purchase Header,Buy-from Post Code
Purchase Header,Buy-from Vendor Name
Purchase Header,Buy-from Vendor Name 2
Purchase Header,Buy-from Vendor No.
Purchase Header,Campaign No.
Purchase Header,Correction
Purchase Header,Creditor No.
Purchase Header,Currency Code
Purchase Header,Currency Factor
Purchase Header,Dimension Set ID
Purchase Header,Document Date
Purchase Header,Document Type
Purchase Header,Due Date
Purchase Header,Entry Point
Purchase Header,Expected Receipt Date
Purchase Header,Gen. Bus. Posting Group
Purchase Header,Invoice Disc. Code
Purchase Header,Invoice Received Date
Purchase Header,Language Code
Purchase Header,Location Code
Purchase Header,No.
Purchase Header,No. Printed
Purchase Header,On Hold
Purchase Header,Order Address Code
Purchase Header,Order Class
Purchase Header,Order Date
Purchase Header,Payment Discount %
Purchase Header,Payment Method Code
Purchase Header,Payment Reference
Purchase Header,Payment Terms Code
Purchase Header,Pay-to Address
Purchase Header,Pay-to Address 2
Purchase Header,Pay-to City
Purchase Header,Pay-to Contact
Purchase Header,Pay-to Contact No.
Purchase Header,Pay-to Country/Region Code
Purchase Header,Pay-to County
Purchase Header,Pay-to IC Partner Code
Purchase Header,Pay-to Name
Purchase Header,Pay-to Name 2
Purchase Header,Pay-to Post Code
Purchase Header,Pay-to Vendor No.
Purchase Header,Pmt. Discount Date
Purchase Header,Posting Date
Purchase Header,Posting Description
Purchase Header,Posting from Whse. Ref.
Purchase Header,Posting No.
Purchase Header,Promised Receipt Date
Purchase Header,Provincial Tax Area Code
Purchase Header,Purchaser Code
Purchase Header,Quote No.
Purchase Header,Reason Code
Purchase Header,Requested Receipt Date
Purchase Header,Responsibility Center
Purchase Header,Return Shipment No.
Purchase Header,Sell-to Customer No.
Purchase Header,Shipment Method Code
Purchase Header,Ship-to Address
Purchase Header,Ship-to Address 2
Purchase Header,Ship-to City
Purchase Header,Ship-to Code
Purchase Header,Ship-to Contact
Purchase Header,Ship-to Country/Region Code
Purchase Header,Ship-to County
Purchase Header,Ship-to Name
Purchase Header,Ship-to Name 2
Purchase Header,Ship-to Phone No.
Purchase Header,Ship-to Post Code
Purchase Header,Ship-to UPS Zone
Purchase Header,Shortcut Dimension 1 Code
Purchase Header,Shortcut Dimension 2 Code
Purchase Header,Status
Purchase Header,SystemCreatedAt
Purchase Header,SystemModifiedAt
Purchase Header,Tax Area Code
Purchase Header,Tax Exemption No.
Purchase Header,Tax Liable
Purchase Header,Transaction Specification
Purchase Header,Transaction Type
Purchase Header,Transport Method
Purchase Header,VAT Base Discount %
Purchase Header,VAT Bus. Posting Group
Purchase Header,VAT Country/Region Code
Purchase Header,VAT Registration No.
Purchase Header,VAT Reporting Date
Purchase Header,Vendor Authorization No.
Purchase Header,Vendor Cr. Memo No.
Purchase Header,Vendor Invoice No.
Purchase Header,Vendor Order No.
Purchase Header,Vendor Posting Group
Purchase Header,Vendor Shipment No.
Purchase Header,Your Reference
Purchase Line,Amount
Purchase Line,Amount Including VAT
Purchase Line,Appl.-to Item Entry
Purchase Line,Area
Purchase Line,Attached to Line No.
Purchase Line,Bin Code
Purchase Line,Blanket Order Line No.
Purchase Line,Blanket Order No.
Purchase Line,Budgeted FA No.
Purchase Line,Buy-from Vendor No.
Purchase Line,Completely Received
Purchase Line,Currency Code
Purchase Line,Deferral Code
Purchase Line,Description
Purchase Line,Description 2
Purchase Line,Dimension Set ID
Purchase Line,Direct Unit Cost
Purchase Line,Document No.
Purchase Line,Document Type
Purchase Line,Drop Shipment
Purchase Line,Gen. Bus. Posting Group
Purchase Line,Gen. Prod. Posting Group
Purchase Line,Gross Weight
Purchase Line,GST/HST
Purchase Line,Indirect Cost %
Purchase Line,Insurance No.
Purchase Line,Inv. Discount Amount
Purchase Line,Item Category Code
Purchase Line,Item Reference No.
Purchase Line,Item Reference Type
Purchase Line,Item Reference Type No.
Purchase Line,Item Reference Unit of Measure
Purchase Line,Job No.
Purchase Line,Line Amount
Purchase Line,Line Discount %
Purchase Line,Line Discount Amount
Purchase Line,Line No.
Purchase Line,Location Code
Purchase Line,Net Weight
Purchase Line,No.
Purchase Line,Nonstock
Purchase Line,Operation No.
Purchase Line,Order Date
Purchase Line,Order Line No.
Purchase Line,Order No.
Purchase Line,Outstanding Amount
Purchase Line,Outstanding Amount (LCY)
Purchase Line,Outstanding Amt. Ex. VAT (LCY)
Purchase Line,Outstanding Qty. (Base)
Purchase Line,Outstanding Quantity
Purchase Line,Overhead Rate
Purchase Line,Over-Receipt Code
Purchase Line,Over-Receipt Quantity
Purchase Line,Pay-to Vendor No.
Purchase Line,Planned Receipt Date
Purchase Line,Planning Flexibility
Purchase Line,Pmt. Discount Amount
Purchase Line,Posting Group
Purchase Line,Promised Receipt Date
Purchase Line,Provincial Tax Area Code
Purchase Line,Purchasing Code
Purchase Line,Qty. Invoiced (Base)
Purchase Line,Qty. per Unit of Measure
Purchase Line,Qty. Rcd. Not Invoiced
Purchase Line,Qty. Rcd. Not Invoiced (Base)
Purchase Line,Qty. Received (Base)
Purchase Line,Qty. to Invoice
Purchase Line,Qty. to Invoice (Base)
Purchase Line,Qty. to Receive
Purchase Line,Qty. to Receive (Base)
Purchase Line,Quantity
Purchase Line,Quantity (Base)
Purchase Line,Quantity Invoiced
Purchase Line,Quantity Received
Purchase Line,Receipt Line No.
Purchase Line,Receipt No.
Purchase Line,Requested Receipt Date
Purchase Line,Responsibility Center
Purchase Line,Return Reason Code
Purchase Line,Return Shipment Line No.
Purchase Line,Return Shipment No.
Purchase Line,Return Shpd. Not Invd.
Purchase Line,Return Shpd. Not Invd. (LCY)
Purchase Line,Returns Deferral Start Date
Purchase Line,Routing No.
Purchase Line,Routing Reference No.
Purchase Line,Sales Order Line No.
Purchase Line,Sales Order No.
Purchase Line,Salvage Value
Purchase Line,Shortcut Dimension 1 Code
Purchase Line,Shortcut Dimension 2 Code
Purchase Line,System-Created Entry
Purchase Line,SystemCreatedAt
Purchase Line,SystemModifiedAt
Purchase Line,Tax Area Code
Purchase Line,Tax Group Code
Purchase Line,Tax Liable
Purchase Line,Transaction Specification
Purchase Line,Transaction Type
Purchase Line,Transport Method
Purchase Line,Type
Purchase Line,Unit Cost
Purchase Line,Unit Cost (LCY)
Purchase Line,Unit of Measure
Purchase Line,Unit of Measure Code
Purchase Line,Unit Price (LCY)
Purchase Line,Unit Volume
Purchase Line,Units per Parcel
Purchase Line,Use Duplication List
Purchase Line,Use Tax
Purchase Line,Variant Code
Purchase Line,VAT %
Purchase Line,VAT Base Amount
Purchase Line,VAT Bus. Posting Group
Purchase Line,VAT Calculation Type
Purchase Line,VAT Difference
Purchase Line,VAT Identifier
Purchase Line,VAT Prod. Posting Group
Purchase Line,Vendor Item No.
Purchase Line,Work Center No.
Sales Cr.Memo Header,Alt. Gen. Bus Posting Group
Sales Cr.Memo Header,Alt. VAT Bus Posting Group
Sales Cr.Memo Header,Alt. VAT Registration No.
Sales Cr.Memo Header,Applies-to Doc. No.
Sales Cr.Memo Header,Applies-to Doc. Type
Sales Cr.Memo Header,Area
Sales Cr.Memo Header,Bal. Account No.
Sales Cr.Memo Header,Bal. Account Type
Sales Cr.Memo Header,Bill-to Address
Sales Cr.Memo Header,Bill-to Address 2
Sales Cr.Memo Header,Bill-to City
Sales Cr.Memo Header,Bill-to Contact
Sales Cr.Memo Header,Bill-to Contact No.
Sales Cr.Memo Header,Bill-to Country/Region Code
Sales Cr.Memo Header,Bill-to County
Sales Cr.Memo Header,Bill-to Customer No.
Sales Cr.Memo Header,Bill-to Name
Sales Cr.Memo Header,Bill-to Name 2
Sales Cr.Memo Header,Bill-to Post Code
Sales Cr.Memo Header,Campaign No.
Sales Cr.Memo Header,Certificate Serial No.
Sales Cr.Memo Header,Correction
Sales Cr.Memo Header,Currency Code
Sales Cr.Memo Header,Currency Factor
Sales Cr.Memo Header,Cust. Ledger Entry No.
Sales Cr.Memo Header,Customer Disc. Group
Sales Cr.Memo Header,Customer Posting Group
Sales Cr.Memo Header,Customer Price Group
Sales Cr.Memo Header,Dimension Set ID
Sales Cr.Memo Header,Document Date
Sales Cr.Memo Header,Due Date
Sales Cr.Memo Header,Electronic Document Sent
Sales Cr.Memo Header,Electronic Document Status
Sales Cr.Memo Header,Error Code
Sales Cr.Memo Header,Error Description
Sales Cr.Memo Header,Exchange Rate USD
Sales Cr.Memo Header,Exit Point
Sales Cr.Memo Header,External Document No.
Sales Cr.Memo Header,Gen. Bus. Posting Group
Sales Cr.Memo Header,Invoice Disc. Code
Sales Cr.Memo Header,Language Code
Sales Cr.Memo Header,Location Code
Sales Cr.Memo Header,No.
Sales Cr.Memo Header,Opportunity No.
Sales Cr.Memo Header,Payment Discount %
Sales Cr.Memo Header,Payment Method Code
Sales Cr.Memo Header,Payment Terms Code
Sales Cr.Memo Header,Pmt. Discount Date
Sales Cr.Memo Header,Posting Date
Sales Cr.Memo Header,Posting Description
Sales Cr.Memo Header,Prepayment Order No.
Sales Cr.Memo Header,Prices Including VAT
Sales Cr.Memo Header,Reason Code
Sales Cr.Memo Header,Responsibility Center
Sales Cr.Memo Header,Return Order No.
Sales Cr.Memo Header,Salesperson Code
Sales Cr.Memo Header,Sell-to Address
Sales Cr.Memo Header,Sell-to Address 2
Sales Cr.Memo Header,Sell-to City
Sales Cr.Memo Header,Sell-to Contact
Sales Cr.Memo Header,Sell-to Contact No.
Sales Cr.Memo Header,Sell-to Country/Region Code
Sales Cr.Memo Header,Sell-to County
Sales Cr.Memo Header,Sell-to Customer Name
Sales Cr.Memo Header,Sell-to Customer Name 2
Sales Cr.Memo Header,Sell-to Customer No.
Sales Cr.Memo Header,Sell-to E-Mail
Sales Cr.Memo Header,Sell-to Phone No.
Sales Cr.Memo Header,Sell-to Post Code
Sales Cr.Memo Header,Shipment Date
Sales Cr.Memo Header,Shipment Method Code
Sales Cr.Memo Header,Shipping Agent Code
Sales Cr.Memo Header,Shipping Agent Service Code
Sales Cr.Memo Header,Ship-to Address
Sales Cr.Memo Header,Ship-to Address 2
Sales Cr.Memo Header,Ship-to City
Sales Cr.Memo Header,Ship-to Code
Sales Cr.Memo Header,Ship-to Contact
Sales Cr.Memo Header,Ship-to Country/Region Code
Sales Cr.Memo Header,Ship-to County
Sales Cr.Memo Header,Ship-to Name
Sales Cr.Memo Header,Ship-to Name 2
Sales Cr.Memo Header,Ship-to Phone No.
Sales Cr.Memo Header,Ship-to Post Code
Sales Cr.Memo Header,Ship-to UPS Zone
Sales Cr.Memo Header,Source Code
Sales Cr.Memo Header,SystemCreatedAt
Sales Cr.Memo Header,SystemModifiedAt
Sales Cr.Memo Header,Tax Area Code
Sales Cr.Memo Header,Tax Exemption No.
Sales Cr.Memo Header,Tax Liable
Sales Cr.Memo Header,Transaction Type
Sales Cr.Memo Header,Transport Method
Sales Cr.Memo Header,User ID
Sales Cr.Memo Header,VAT Base Discount %
Sales Cr.Memo Header,VAT Bus. Posting Group
Sales Cr.Memo Header,VAT Country/Region Code
Sales Cr.Memo Header,VAT Registration No.
Sales Cr.Memo Header,VAT Reporting Date
Sales Cr.Memo Header,Your Reference
Sales Cr.Memo Line,Amount
Sales Cr.Memo Line,Amount Including VAT
Sales Cr.Memo Line,Appl.-from Item Entry
Sales Cr.Memo Line,Appl.-to Item Entry
Sales Cr.Memo Line,Area
Sales Cr.Memo Line,Attached to Line No.
Sales Cr.Memo Line,Bill-to Customer No.
Sales Cr.Memo Line,Bin Code
Sales Cr.Memo Line,Blanket Order Line No.
Sales Cr.Memo Line,Blanket Order No.
Sales Cr.Memo Line,Customer Disc. Group
Sales Cr.Memo Line,Customer Price Group
Sales Cr.Memo Line,Description
Sales Cr.Memo Line,Description 2
Sales Cr.Memo Line,Dimension Set ID
Sales Cr.Memo Line,Document No.
Sales Cr.Memo Line,Gen. Bus. Posting Group
Sales Cr.Memo Line,Gen. Prod. Posting Group
Sales Cr.Memo Line,Gross Weight
Sales Cr.Memo Line,Inv. Discount Amount
Sales Cr.Memo Line,Item Category Code
Sales Cr.Memo Line,Item Reference No.
Sales Cr.Memo Line,Item Reference Type
Sales Cr.Memo Line,Item Reference Type No.
Sales Cr.Memo Line,Item Reference Unit of Measure
Sales Cr.Memo Line,Job No.
Sales Cr.Memo Line,Job Task No.
Sales Cr.Memo Line,Line Amount
Sales Cr.Memo Line,Line Discount %
Sales Cr.Memo Line,Line Discount Amount
Sales Cr.Memo Line,Line No.
Sales Cr.Memo Line,Location Code
Sales Cr.Memo Line,Net Weight
Sales Cr.Memo Line,No.
Sales Cr.Memo Line,Nonstock
Sales Cr.Memo Line,Order Line No.
Sales Cr.Memo Line,Order No.
Sales Cr.Memo Line,Pmt. Discount Amount
Sales Cr.Memo Line,Posting Date
Sales Cr.Memo Line,Posting Group
Sales Cr.Memo Line,Prepayment Line
Sales Cr.Memo Line,Price Calculation Method
Sales Cr.Memo Line,Purchasing Code
Sales Cr.Memo Line,Qty. per Unit of Measure
Sales Cr.Memo Line,Quantity
Sales Cr.Memo Line,Quantity (Base)
